"codigo_mesa";"id_cliente";"num_pessoa_mesa";"data_hora_entrada";"data_hora_saida"
1;70;18;"2023-01-29 03:16:24";"2023-01-30 17:16:24"
2;35;13;"2024-03-24 03:11:10";"2024-03-27 00:11:10"
3;46;11;"2022-10-19 05:52:38";"2022-10-20 02:52:38"
4;46;15;"2023-10-30 19:33:55";"2023-10-31 22:33:55"
5;18;7;"2023-11-16 13:37:16";"2023-11-19 01:37:16"
6;8;10;"2024-03-12 10:48:47";"2024-03-13 16:48:47"
7;18;13;"2022-08-30 21:45:02";"2022-09-02 13:45:02"
8;63;16;"2023-04-21 16:42:21";"2023-04-23 20:42:21"
9;45;10;"2022-10-08 04:29:34";"2022-10-09 18:29:34"
10;85;11;"2022-08-07 23:56:38";"2022-08-10 14:56:38"
11;20;2;"2022-08-26 08:45:11";"2022-08-27 13:45:11"
12;8;14;"2023-05-25 01:14:29";"2023-05-27 01:14:29"
13;41;9;"2023-08-21 13:29:25";"2023-08-22 18:29:25"
14;39;6;"2023-11-04 08:44:15";"2023-11-04 20:44:15"
15;2;14;"2024-05-17 13:50:49";"2024-05-18 23:50:49"
16;26;6;"2023-08-15 22:14:55";"2023-08-18 09:14:55"
17;86;7;"2023-06-01 10:53:43";"2023-06-04 10:53:43"
18;23;10;"2024-05-19 00:28:54";"2024-05-21 09:28:54"
19;25;18;"2022-09-13 18:29:35";"2022-09-15 21:29:35"
20;11;17;"2024-04-16 22:07:00";"2024-04-18 00:07:00"
21;17;4;"2023-08-27 16:40:47";"2023-08-30 01:40:47"
22;89;20;"2023-05-01 06:53:27";"2023-05-02 19:53:27"
23;21;18;"2023-01-29 17:42:20";"2023-02-02 21:42:20"
24;87;19;"2022-12-27 01:52:11";"2022-12-31 01:52:11"
25;52;19;"2022-10-30 03:54:14";"2022-10-31 08:54:14"
26;62;1;"2023-03-03 15:05:06";"2023-03-04 12:05:06"
27;27;1;"2022-07-22 14:23:31";"2022-07-25 02:23:31"
28;37;3;"2023-04-23 07:28:28";"2023-04-26 19:28:28"
29;33;10;"2024-05-19 22:17:59";"2024-05-20 17:17:59"
30;74;6;"2023-04-26 15:00:43";"2023-04-27 18:00:43"
31;81;4;"2024-03-06 20:45:44";"2024-03-10 22:45:44"
32;59;14;"2023-05-09 22:48:50";"2023-05-12 02:48:50"
33;36;2;"2022-09-30 06:40:23";"2022-10-01 01:40:23"
34;64;7;"2023-04-03 03:44:22";"2023-04-04 13:44:22"
35;79;4;"2024-03-05 12:45:31";"2024-03-07 10:45:31"
36;11;19;"2022-07-01 08:12:22";"2022-07-02 11:12:22"
37;50;1;"2024-05-20 04:40:46";"2024-05-22 03:40:46"
38;12;12;"2023-01-10 17:55:28";"2023-01-12 06:55:28"
39;40;19;"2023-04-23 03:52:38";"2023-04-24 21:52:38"
40;86;12;"2024-05-18 19:40:29";"2024-05-19 13:40:29"
41;98;2;"2024-03-01 04:51:19";"2024-03-02 04:51:19"
42;13;2;"2023-09-23 19:43:32";"2023-09-26 08:43:32"
43;5;3;"2024-05-24 10:39:16";"2024-05-25 15:39:16"
44;94;16;"2023-04-04 19:41:29";"2023-04-06 13:41:29"
45;78;3;"2022-06-02 21:16:42";"2022-06-05 10:16:42"
46;36;6;"2022-11-24 06:05:09";"2022-11-28 06:05:09"
47;1;11;"2023-10-10 04:12:23";"2023-10-11 07:12:23"
48;19;20;"2022-12-04 06:58:10";"2022-12-06 00:58:10"
49;73;1;"2022-06-13 13:23:45";"2022-06-14 21:23:45"
50;41;20;"2023-09-20 19:07:05";"2023-09-22 22:07:05"
51;61;11;"2023-03-31 13:05:08";"2023-04-02 13:05:08"
52;61;10;"2023-06-22 06:17:41";"2023-06-26 01:17:41"
53;40;15;"2023-01-21 23:11:49";"2023-01-22 12:11:49"
54;24;8;"2022-07-18 03:15:59";"2022-07-20 00:15:59"
55;33;19;"2023-07-22 20:44:20";"2023-07-24 23:44:20"
56;85;20;"2022-11-13 09:15:09";"2022-11-14 11:15:09"
57;83;1;"2023-12-04 07:30:04";"2023-12-06 10:30:04"
58;88;1;"2023-12-22 10:01:59";"2023-12-24 22:01:59"
59;22;10;"2024-04-11 09:22:15";"2024-04-13 05:22:15"
60;100;14;"2023-09-08 22:43:55";"2023-09-12 20:43:55"
61;10;12;"2023-05-28 06:24:05";"2023-05-31 23:24:05"
62;25;14;"2024-05-04 17:18:02";"2024-05-08 00:18:02"
63;38;2;"2023-03-13 02:24:59";"2023-03-16 04:24:59"
64;27;18;"2022-07-29 09:53:19";"2022-07-29 22:53:19"
65;31;14;"2023-01-31 02:38:55";"2023-02-02 22:38:55"
66;94;16;"2023-09-18 14:16:44";"2023-09-19 22:16:44"
67;58;18;"2023-07-24 15:22:36";"2023-07-26 02:22:36"
68;100;19;"2023-01-15 09:30:09";"2023-01-19 11:30:09"
69;50;12;"2023-07-22 20:40:32";"2023-07-25 09:40:32"
70;18;4;"2024-03-06 02:26:40";"2024-03-07 09:26:40"
71;31;2;"2024-03-13 15:37:19";"2024-03-14 23:37:19"
72;70;12;"2022-07-25 19:31:07";"2022-07-29 04:31:07"
73;95;10;"2024-04-15 02:16:16";"2024-04-16 05:16:16"
74;99;15;"2024-04-24 15:16:15";"2024-04-28 04:16:15"
75;32;2;"2023-05-29 09:42:32";"2023-06-01 12:42:32"
76;19;12;"2022-07-26 08:04:54";"2022-07-27 17:04:54"
