"codigo_prato";"codigo_tipo_prato";"nome_prato";"preco_unitario_prato"
1;3;"quibusdam";57.0
2;3;"at";84.0
3;2;"dicta";30.0
4;2;"ullam";98.0
5;3;"deserunt";30.0
6;4;"consectetur";15.0
7;3;"nemo";22.0
8;4;"nobis";93.0
9;3;"aspernatur";82.0
10;2;"perferendis";67.0
11;4;"officia";32.0
12;2;"veritatis";49.0
13;2;"sunt";92.0
14;2;"quas";38.0
15;2;"praesentium";71.0
16;4;"nostrum";98.0
17;3;"illo";51.0
18;1;"ipsa";18.0
19;1;"nemo";29.0
20;2;"error";58.0
21;4;"id";23.0
22;3;"excepturi";58.0
23;4;"quos";82.0
24;1;"explicabo";54.0
25;4;"aliquam";21.0
26;4;"tempore";45.0
27;1;"blanditiis";97.0
28;1;"quidem";25.0
29;4;"consequuntur";68.0
30;4;"similique";88.0
31;2;"odio";52.0
32;4;"saepe";53.0
33;1;"illo";31.0
34;1;"temporibus";12.0
35;1;"nostrum";11.0
36;4;"dolorum";57.0
37;3;"magni";20.0
38;3;"numquam";49.0
39;2;"tenetur";29.0
40;4;"reprehenderit";35.0
41;4;"quaerat";37.0
42;4;"illum";58.0
43;2;"reprehenderit";61.0
44;2;"fugiat";26.0
45;3;"quas";35.0
46;4;"natus";76.0
47;1;"nam";47.0
48;2;"modi";38.0
49;2;"nobis";10.0
50;2;"ullam";13.0
51;2;"aliquid";40.0
52;1;"aspernatur";94.0
53;4;"corrupti";27.0
54;1;"atque";30.0
55;4;"itaque";55.0
56;1;"eius";17.0
57;2;"ducimus";67.0
58;3;"nemo";23.0
59;3;"assumenda";74.0
60;3;"quam";71.0
61;3;"sint";85.0
62;3;"magnam";40.0
63;2;"nisi";29.0
64;4;"voluptatum";21.0
65;4;"adipisci";36.0
66;4;"quas";41.0
67;3;"voluptatibus";91.0
68;3;"vero";82.0
69;4;"doloremque";55.0
70;4;"dicta";15.0
71;4;"tenetur";60.0
72;3;"occaecati";78.0
73;2;"voluptatum";32.0
74;1;"quo";76.0
75;3;"quaerat";88.0
76;3;"illo";70.0
77;1;"eaque";36.0
78;1;"cumque";16.0
79;3;"quos";15.0
80;1;"ut";43.0
81;1;"debitis";55.0
82;2;"unde";35.0
83;1;"dolorum";41.0
84;2;"sequi";63.0
85;3;"quibusdam";29.0
86;2;"quibusdam";79.0
87;2;"nam";83.0
88;4;"facilis";45.0
89;2;"impedit";20.0
90;1;"corrupti";34.0
91;2;"magnam";47.0
92;1;"ex";73.0
93;4;"fugit";93.0
94;3;"tempora";67.0
95;3;"accusamus";49.0
96;3;"non";83.0
97;1;"occaecati";75.0
98;1;"doloremque";28.0
99;3;"minus";55.0
100;3;"quaerat";68.0
101;1;"doloremque";13.0
102;4;"voluptas";87.0
103;2;"numquam";25.0
104;4;"labore";52.0
105;2;"praesentium";32.0
106;3;"sapiente";67.0
107;1;"molestias";58.0
108;4;"sit";38.0
109;2;"architecto";94.0
110;2;"earum";97.0
111;1;"culpa";27.0
112;4;"aliquid";62.0
113;3;"quia";73.0
114;3;"beatae";85.0
115;1;"sit";27.0
116;1;"est";77.0
117;1;"veniam";45.0
118;2;"odio";62.0
119;3;"eaque";71.0
120;1;"harum";14.0
121;4;"doloremque";67.0
122;3;"molestias";35.0
123;3;"magni";24.0
124;1;"maiores";46.0
125;3;"vero";88.0
126;2;"ea";27.0
127;3;"harum";43.0
128;1;"voluptatum";13.0
129;2;"corrupti";40.0
130;1;"velit";47.0
131;2;"occaecati";41.0
132;4;"corporis";91.0
133;4;"qui";51.0
134;2;"maiores";28.0
135;3;"laboriosam";72.0
136;1;"qui";36.0
137;4;"vitae";31.0
138;3;"fugit";100.0
139;4;"ut";56.0
140;4;"deserunt";93.0
141;4;"explicabo";83.0
142;2;"unde";82.0
143;1;"sequi";57.0
144;2;"laboriosam";70.0
145;4;"magni";46.0
146;1;"fuga";41.0
147;4;"ea";32.0
148;3;"error";18.0
149;4;"accusantium";61.0
150;1;"nulla";65.0
151;1;"rem";96.0
152;4;"facere";87.0
153;3;"sint";89.0
154;4;"deserunt";87.0
155;3;"veniam";56.0
156;1;"numquam";51.0
157;3;"unde";56.0
158;1;"recusandae";34.0
159;1;"aperiam";86.0
160;2;"sed";55.0
161;4;"soluta";77.0
162;1;"tempore";68.0
163;4;"doloremque";29.0
164;1;"in";49.0
165;4;"nesciunt";56.0
166;3;"fuga";11.0
167;2;"sapiente";49.0
168;3;"ducimus";12.0
169;3;"repellendus";79.0
170;3;"reiciendis";39.0
171;1;"culpa";88.0
172;3;"excepturi";29.0
173;4;"corporis";80.0
174;2;"iusto";42.0
175;2;"hic";94.0
176;2;"sit";92.0
177;1;"tempora";53.0
178;4;"asperiores";95.0
179;3;"assumenda";22.0
180;2;"necessitatibus";61.0
181;3;"nobis";74.0
182;2;"eligendi";64.0
183;2;"nemo";91.0
184;2;"consequatur";10.0
185;2;"odit";55.0
186;4;"neque";39.0
187;1;"iusto";56.0
188;4;"eius";70.0
189;3;"esse";81.0
190;1;"asperiores";48.0
191;2;"odio";58.0
192;1;"illo";96.0
193;2;"odio";72.0
194;3;"suscipit";27.0
195;4;"esse";48.0
196;4;"laboriosam";97.0
197;2;"ea";73.0
198;4;"laborum";17.0
199;3;"vel";20.0
200;2;"rem";14.0
201;3;"aliquid";45.0
202;4;"quam";86.0
203;1;"ducimus";88.0
204;4;"odio";35.0
205;1;"quos";82.0
206;2;"dolorum";45.0
207;2;"nisi";96.0
208;3;"id";16.0
209;2;"excepturi";41.0
210;3;"eligendi";13.0
211;4;"magnam";45.0
212;4;"quos";23.0
213;3;"fugiat";27.0
214;4;"possimus";58.0
215;4;"asperiores";37.0
216;1;"voluptatibus";29.0
217;1;"sequi";56.0
218;2;"dolorum";11.0
219;2;"voluptates";27.0
220;3;"eius";34.0
221;1;"deleniti";29.0
222;4;"quas";21.0
223;4;"earum";70.0
224;1;"ut";75.0
225;2;"recusandae";53.0
226;2;"molestias";77.0
227;2;"ducimus";96.0
228;1;"natus";94.0
229;2;"cum";96.0
230;2;"cum";54.0
231;2;"facilis";22.0
232;2;"accusamus";58.0
233;4;"laudantium";25.0
234;4;"error";35.0
235;4;"inventore";58.0
236;1;"necessitatibus";32.0
237;1;"quia";15.0
238;1;"explicabo";16.0
239;1;"soluta";66.0
240;3;"eum";56.0
241;2;"quis";100.0
242;1;"ullam";12.0
243;1;"at";83.0
244;1;"ad";95.0
245;4;"eum";35.0
246;4;"possimus";66.0
247;1;"nam";58.0
248;3;"facilis";54.0
249;2;"sequi";79.0
250;4;"eaque";10.0
251;1;"minus";21.0
252;2;"iusto";69.0
253;4;"laudantium";14.0
254;3;"expedita";21.0
255;3;"dolore";92.0
256;4;"eum";13.0
257;1;"totam";29.0
258;2;"soluta";43.0
259;4;"tenetur";95.0
260;4;"animi";47.0
261;4;"ipsa";44.0
262;2;"assumenda";37.0
263;1;"iusto";48.0
264;2;"nam";14.0
265;2;"soluta";14.0
266;1;"nesciunt";88.0
267;2;"repudiandae";24.0
268;3;"quas";16.0
269;4;"debitis";43.0
270;2;"tempore";22.0
271;2;"cumque";29.0
272;4;"alias";34.0
273;4;"tempora";93.0
274;1;"ab";63.0
275;2;"explicabo";88.0
276;1;"dicta";34.0
277;3;"excepturi";95.0
278;4;"exercitationem";40.0
279;1;"ab";58.0
280;3;"sit";57.0
281;2;"minima";78.0
282;3;"laborum";27.0
283;2;"cum";42.0
284;2;"voluptas";80.0
285;1;"sapiente";75.0
286;4;"at";17.0
287;3;"debitis";48.0
288;2;"nobis";44.0
289;3;"dolor";56.0
290;4;"amet";28.0
291;1;"voluptatibus";84.0
292;4;"porro";85.0
293;2;"magni";54.0
294;3;"quia";35.0
295;2;"velit";77.0
296;4;"labore";80.0
297;4;"repellendus";99.0
298;3;"cupiditate";52.0
299;2;"id";15.0
300;1;"possimus";100.0
301;4;"quidem";65.0
302;4;"illum";73.0
303;4;"delectus";100.0
304;2;"vitae";19.0
305;2;"rem";56.0
306;1;"reprehenderit";96.0
307;1;"repudiandae";72.0
308;2;"architecto";16.0
309;4;"deleniti";27.0
310;2;"ratione";83.0
311;3;"quibusdam";45.0
312;2;"perferendis";33.0
313;2;"aspernatur";12.0
314;1;"soluta";56.0
315;4;"ab";55.0
316;3;"perspiciatis";16.0
317;2;"dolorem";91.0
318;4;"culpa";79.0
319;3;"a";57.0
320;3;"reprehenderit";34.0
321;3;"tempore";52.0
322;3;"unde";71.0
323;3;"asperiores";78.0
324;3;"maiores";54.0
325;4;"itaque";92.0
326;1;"aut";78.0
327;3;"cum";64.0
328;2;"repellat";73.0
329;1;"consequuntur";61.0
330;4;"earum";67.0
331;2;"facere";11.0
332;1;"eos";70.0
333;4;"repellendus";91.0
334;4;"incidunt";95.0
335;1;"unde";88.0
336;1;"mollitia";51.0
337;1;"odit";85.0
338;3;"animi";19.0
339;4;"fugit";16.0
340;3;"esse";55.0
341;1;"aliquam";63.0
342;2;"impedit";60.0
343;3;"blanditiis";94.0
344;2;"quos";28.0
345;4;"voluptate";27.0
346;3;"aliquid";49.0
347;3;"placeat";27.0
348;1;"placeat";28.0
349;1;"eaque";47.0
350;1;"ducimus";78.0
351;4;"minima";23.0
352;2;"ipsum";48.0
353;4;"quibusdam";40.0
354;1;"illum";67.0
355;1;"repellendus";23.0
356;1;"id";23.0
357;1;"perferendis";67.0
358;4;"laboriosam";36.0
359;4;"maxime";62.0
360;3;"a";53.0
361;3;"voluptate";83.0
362;3;"distinctio";28.0
363;1;"rerum";16.0
364;3;"voluptatibus";30.0
365;1;"ratione";73.0
366;2;"officiis";11.0
367;2;"rem";25.0
368;3;"qui";76.0
369;3;"quidem";75.0
370;2;"laudantium";54.0
371;4;"deleniti";29.0
372;4;"perferendis";75.0
373;1;"sit";55.0
374;4;"facilis";100.0
375;2;"repudiandae";95.0
376;2;"consequuntur";68.0
377;3;"magnam";53.0
378;2;"dolor";41.0
379;3;"suscipit";29.0
